Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 2505,AZUL,Nacional,2015-01-09 05:10:00+00:00,2015-01-09T05:00:00Z,2015-01-09T05:50:00Z,2015-01-09T05:44:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Santa Maria,Santa Maria,RS,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-53.7008735,-29.7079582
AZU - 2799,AZUL,Regional,2015-01-09 03:00:00+00:00,2015-01-09T03:00:00Z,2015-01-09T05:50:00Z,2015-01-09T05:50:00Z,Realizado,,Governador Aluizio Alves,Natal,RN,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-35.3673819,-5.7683702
TAM - 8101,TAM,Internacional,2015-01-09 18:10:00+00:00,2015-01-09T17:31:00Z,2015-01-10T05:55:00Z,2015-01-10T05:15:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
GLO - 1821,GOL,Nacional,2015-01-09 02:20:00+00:00,2015-01-09T03:09:00Z,2015-01-09T05:55:00Z,2015-01-09T06:33:00Z,Realizado,DEFEITOS DA AERONAVE,Pinto Martins,Fortaleza,CE,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.5330966,-3.7771555
TPU - 917,TRASAMERICA  AIRLINES-TACAPERU,Internacional,2015-01-09 00:55:00+00:00,2015-01-09T01:00:00Z,2015-01-09T05:55:00Z,2015-01-09T06:23:00Z,Realizado,SEGURANCA/PAX/CARGA/ALARME,Lima,Lima,N/I,Peru,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-77.1074414,-12.0436644
AZU - 4191,AZUL,Nacional,2015-01-09 02:44:00+00:00,2015-01-09T02:44:00Z,2015-01-09T05:55:00Z,2015-01-09T05:55:00Z,Realizado,,Val De Cans,Belem,PA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-48.4775227,-1.3820615
AZU - 2899,AZUL,Regional,2015-01-09 03:25:00+00:00,,2015-01-09T05:55:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Marechal Rondon,Varzea Grande,MT,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-56.1172687,-15.6530786
GLO - 1833,GOL,Nacional,2015-01-09 02:30:00+00:00,2015-01-09T03:20:00Z,2015-01-09T05:57:00Z,2015-01-09T06:24:00Z,Realizado,CONEXAO DE AERONAVE,Marechal Cunha Machado,Sao Luis,MA,Brasil,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-44.2348802,-2.5849927
AZU - 2745,AZUL,Regional,2015-01-09 03:05:00+00:00,2015-01-09T03:05:00Z,2015-01-09T05:58:00Z,2015-01-09T05:58:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-38.5330966,-3.7771555
AZU - 5149,AZUL,Nacional,2015-01-09 04:35:00+00:00,2015-01-09T04:20:00Z,2015-01-09T06:00:00Z,2015-01-09T05:37:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
GLO - 1856,GOL,Nacional,2015-01-09 04:43:00+00:00,2015-01-09T04:43:00Z,2015-01-09T06:00:00Z,2015-01-09T06:00:00Z,Realizado,,Santa Genoveva,Goiania,GO,Brasil,Congonhas,Sao Paulo,SP,Brasil,-46.6565842,-23.6273246,-49.2221166,-16.632488
GLO - 1135,GOL,Nacional,2015-01-09 04:44:00+00:00,,2015-01-09T06:00:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Val De Cans,Belem,PA,Brasil,Marechal Cunha Machado,Sao Luis,MA,Brasil,-44.2348802,-2.5849927,-48.4775227,-1.3820615
GLO - 1283,GOL,Nacional,2015-01-09 04:40:00+00:00,2015-01-09T04:40:00Z,2015-01-09T06:01:00Z,2015-01-09T06:01:00Z,Realizado,,Senador Nilo Coelho,Petrolina,PE,Brasil,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-40.5660751,-9.3665077
AZU - 5031,AZUL,Nacional,2015-01-09 05:07:00+00:00,,2015-01-09T06:02:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Hercilio Luz,Florianopolis,SC,Brasil,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-48.5459657,-27.670118
AZU - 2545,AZUL,Regional,2015-01-09 03:10:00+00:00,2015-01-09T03:10:00Z,2015-01-09T06:02:00Z,2015-01-09T06:02:00Z,Realizado,,Marechal Cunha Machado,Sao Luis,MA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-44.2348802,-2.5849927
GLO - 1759,GOL,Regional,2015-01-09 04:45:00+00:00,2015-01-09T04:45:00Z,2015-01-09T06:02:00Z,2015-01-09T06:02:00Z,Realizado,,Presidente Joao Suassuna,Campina Grande,PB,Brasil,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-35.8940206,-7.2688784
GLO - 1161,GOL,Nacional,2015-01-09 03:29:00+00:00,2015-01-09T03:59:00Z,2015-01-09T06:05:00Z,2015-01-09T06:12:00Z,Realizado,AEROPORTO ORIGEM ABAIXO DOS LIMITES,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.3312411,-12.9110977
