Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 5151,AZUL,Regional,2016-04-23 05:00:00+00:00,2016-04-23T05:00:00Z,2016-04-23T05:48:00Z,2016-04-23T05:48:00Z,Realizado,,Pelotas,Pelotas,RS,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-52.3279312,-31.71795
DLH - 507,LUFTHANSA,Internacional,2016-04-23 18:15:00+00:00,2016-04-23T18:15:00Z,2016-04-24T05:50:00Z,2016-04-24T05:50:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Frankfurt,Frankfurt,N/I,Alemanha,8.5621518,50.0379326,-46.478126,-23.4345529
AZU - 4411,AZUL,Nacional,2016-04-23 03:10:00+00:00,,2016-04-23T05:50:00Z,,Cancelado,AUTORIZADO,Senador Petronio Portella,Teresina,PI,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-42.8211703,-5.0635434
ARE - 3505,AIRES - LAN COLOMBIA,Internacional,2016-04-23 23:30:00+00:00,2016-04-23T23:30:00Z,2016-04-24T05:50:00Z,2016-04-24T05:50:00Z,Realizado,,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
AZU - 2545,AZUL,Regional,2016-04-23 03:10:00+00:00,,2016-04-23T05:50:00Z,,Cancelado,AUTORIZADO,Marechal Cunha Machado,Sao Luis,MA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-44.2348802,-2.5849927
AAL - 214,AMERICAN AIRLINES INC,Internacional,2016-04-23 21:57:00+00:00,2016-04-23T21:38:00Z,2016-04-24T05:52:00Z,2016-04-24T05:13:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AZU - 8705,AZUL,Internacional,2016-04-23 21:45:00+00:00,2016-04-23T22:00:00Z,2016-04-24T05:55:00Z,2016-04-24T06:00:00Z,Realizado,DEFEITOS DA AERONAVE,Fort Lauderdale,Fort Lauderdale,N/I,Estados Unidos,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-80.1506022,26.0742344
GLO - 7491,GOL,Internacional,2016-04-23 01:25:00+00:00,2016-04-23T01:25:00Z,2016-04-23T05:55:00Z,2016-04-23T05:55:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Buenos Aires,Buenos Aires,N/I,Argentina,-58.5348284,-34.8150044,-38.3312411,-12.9110977
TAM - 8161,TAM,Internacional,2016-04-23 21:30:00+00:00,2016-04-23T21:30:00Z,2016-04-24T05:55:00Z,2016-04-24T05:55:00Z,Realizado,,Cancun/Intl,Cancun/Intl,N/I,Mexico,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-86.873564,21.0403409
AZU - 2511,AZUL,Regional,2016-04-23 03:42:00+00:00,,2016-04-23T05:55:00Z,,Cancelado,AUTORIZADO,Zumbi Dos Palmares,Rio Largo,AL,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-35.7928829,-9.5116056
SWR - 92,SWISSAIR,Internacional,2016-04-23 17:40:00+00:00,2016-04-23T17:40:00Z,2016-04-24T05:55:00Z,2016-04-24T05:55:00Z,Realizado,,Zurique,Zurique,N/I,Suica,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,8.5554755,47.4582165
AAL - 964,AMERICAN AIRLINES INC,Internacional,2016-04-23 00:35:00+00:00,2016-04-23T00:35:00Z,2016-04-23T05:59:00Z,2016-04-23T05:59:00Z,Realizado,,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
AZU - 2969,AZUL,Regional,2016-04-23 03:40:00+00:00,,2016-04-23T06:00:00Z,,Cancelado,AUTORIZADO,Marechal Rondon,Varzea Grande,MT,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-56.1172687,-15.6530786
AZU - 4289,AZUL,Nacional,2016-04-23 04:35:00+00:00,,2016-04-23T06:00:00Z,,Cancelado,AUTORIZADO,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
TAM - 8085,TAM,Internacional,2016-04-23 18:10:00+00:00,2016-04-23T18:10:00Z,2016-04-24T06:00:00Z,2016-04-24T06:00:00Z,Realizado,,Londres,Londres,N/I,Reino Unido,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,0.049518,51.5048437
AZU - 4191,AZUL,Nacional,2016-04-23 03:00:00+00:00,,2016-04-23T06:00:00Z,,Cancelado,AUTORIZADO,Val De Cans,Belem,PA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-48.4775227,-1.3820615
GLO - 1821,GOL,Nacional,2016-04-23 02:20:00+00:00,2016-04-23T02:20:00Z,2016-04-23T06:00:00Z,2016-04-23T06:00:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.5330966,-3.7771555
AAL - 930,AMERICAN AIRLINES INC,Internacional,2016-04-23 21:25:00+00:00,,2016-04-24T06:00:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AZU - 8704,AZUL,Internacional,2016-04-23 21:40:00+00:00,2016-04-23T21:39:00Z,2016-04-24T06:00:00Z,2016-04-24T05:59:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Viracopos,Campinas,SP,Brasil,Fort Lauderdale,Fort Lauderdale,N/I,Estados Unidos,-80.1506022,26.0742344,-47.1375685,-23.008205
GLO - 1283,GOL,Nacional,2016-04-23 04:40:00+00:00,,2016-04-23T06:01:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Senador Nilo Coelho,Petrolina,PE,Brasil,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-40.5660751,-9.3665077
TTL - 5679,TOTAL,Nacional,2016-04-23 04:10:00+00:00,2016-04-23T03:55:00Z,2016-04-23T06:02:00Z,2016-04-23T05:25:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-46.478126,-23.4345529
