Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2017-01-14 01:20:00+00:00,2017-01-14T01:20:00Z,2017-01-14T09:00:00Z,2017-01-14T09:00:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2017-01-14 23:55:00+00:00,2017-01-14T23:42:00Z,2017-01-15T07:45:00Z,2017-01-15T07:11:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 233,AMERICAN AIRLINES INC,Internacional,2017-01-14 12:45:00+00:00,2017-01-14T12:45:00Z,2017-01-14T21:25:00Z,2017-01-14T21:25:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2017-01-14 12:00:00+00:00,2017-01-14T12:00:00Z,2017-01-14T20:30:00Z,2017-01-14T20:30:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 901,AMERICAN AIRLINES INC,Internacional,2017-01-14 22:15:00+00:00,2017-01-14T23:47:00Z,2017-01-15T07:50:00Z,2017-01-15T08:09:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 904,AMERICAN AIRLINES INC,Internacional,2017-01-14 22:40:00+00:00,2017-01-14T22:40:00Z,2017-01-15T07:35:00Z,2017-01-15T07:35:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2017-01-14 01:30:00+00:00,2017-01-14T01:30:00Z,2017-01-14T10:00:00Z,2017-01-14T10:00:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2017-01-14 01:30:00+00:00,2017-01-14T01:30:00Z,2017-01-14T09:55:00Z,2017-01-14T09:55:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2017-01-14 23:00:00+00:00,2017-01-14T23:00:00Z,2017-01-15T07:35:00Z,2017-01-15T07:35:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2017-01-14 23:05:00+00:00,2017-01-14T23:05:00Z,2017-01-15T07:40:00Z,2017-01-15T07:40:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
