Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 2545,AZUL,Nacional,2016-08-13 03:10:00+00:00,2016-08-13T03:07:00Z,2016-08-13T05:50:00Z,2016-08-13T05:46:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Marechal Cunha Machado,Sao Luis,MA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-44.2348802,-2.5849927
AAL - 901,AMERICAN AIRLINES INC,Internacional,2016-08-13 21:10:00+00:00,2016-08-13T22:57:00Z,2016-08-14T05:50:00Z,2016-08-14T07:21:00Z,Realizado,AEROPORTO ORIGEM ABAIXO DOS LIMITES,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
GLO - 7617,GOL,Internacional,2016-08-13 02:55:00+00:00,2016-08-13T02:55:00Z,2016-08-13T05:50:00Z,2016-08-13T05:50:00Z,Realizado,,Rosario,Rosario,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-60.7803905,-32.9168872
DLH - 507,LUFTHANSA,Internacional,2016-08-13 18:15:00+00:00,2016-08-13T18:15:00Z,2016-08-14T05:50:00Z,2016-08-14T05:50:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Frankfurt,Frankfurt,N/I,Alemanha,8.5621518,50.0379326,-46.478126,-23.4345529
ARE - 3505,AIRES - LAN COLOMBIA,Internacional,2016-08-13 23:30:00+00:00,2016-08-13T23:30:00Z,2016-08-14T05:50:00Z,2016-08-14T05:50:00Z,Realizado,,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
AAL - 214,AMERICAN AIRLINES INC,Internacional,2016-08-13 21:57:00+00:00,2016-08-13T21:57:00Z,2016-08-14T05:52:00Z,2016-08-14T05:52:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AZU - 4289,AZUL,Nacional,2016-08-13 04:35:00+00:00,2016-08-13T04:30:00Z,2016-08-13T05:55:00Z,2016-08-13T05:42:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
TAM - 3081,TAM,Regional,2016-08-13 03:18:00+00:00,2016-08-13T03:18:00Z,2016-08-13T05:55:00Z,2016-08-13T05:55:00Z,Realizado,,Maestro Wilson Fonseca,Santarem,PA,Brasil,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-54.7862433,-2.4248295
AZU - 8705,AZUL,Internacional,2016-08-13 21:45:00+00:00,2016-08-13T21:45:00Z,2016-08-14T05:55:00Z,2016-08-14T05:55:00Z,Realizado,,Fort Lauderdale,Fort Lauderdale,N/I,Estados Unidos,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-80.1506022,26.0742344
SWR - 93,SWISSAIR,Internacional,2016-08-13 18:05:00+00:00,2016-08-13T18:05:00Z,2016-08-14T05:55:00Z,2016-08-14T05:55:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Zurique,Zurique,N/I,Suica,8.5554755,47.4582165,-46.478126,-23.4345529
