Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 229,AMERICAN AIRLINES INC,Internacional,2016-03-13 22:39:00+00:00,2016-03-14T00:41:00Z,2016-03-14T06:42:00Z,2016-03-14T08:41:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-80.2870457,25.795865
AAL - 274,AMERICAN AIRLINES INC,Internacional,2016-03-13 21:40:00+00:00,2016-03-13T21:24:00Z,2016-03-14T06:07:00Z,2016-03-14T05:28:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guararapes - Gilberto Freyre,Recife,PE,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-34.9240154,-8.1259315
AAL - 950,AMERICAN AIRLINES INC,Internacional,2016-03-13 22:10:00+00:00,2016-03-13T21:21:00Z,2016-03-13T08:10:00Z,2016-03-14T06:42:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
AAL - 951,AMERICAN AIRLINES INC,Internacional,2016-03-13 00:35:00+00:00,2016-03-12T23:30:00Z,2016-03-13T10:20:00Z,2016-03-13T09:39:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 991,AMERICAN AIRLINES INC,Internacional,2016-03-13 01:00:00+00:00,2016-03-12T23:42:00Z,2016-03-13T09:16:00Z,2016-03-13T08:27:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Miami,Miami,N/I,Estados Unidos,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-80.2870457,25.795865
AAL - 992,AMERICAN AIRLINES INC,Internacional,2016-03-13 23:24:00+00:00,,2016-03-14T08:02:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Tancredo Neves,Confins,MG,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.965396,-19.634099
ACA - 90,AIR CANADA,Internacional,2016-03-13 00:35:00+00:00,2016-03-13T02:40:00Z,2016-03-13T10:55:00Z,2016-03-13T12:45:00Z,Realizado,DEFEITOS DA AERONAVE,Toronto,Toronto,N/I,Canada,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-79.6248197,43.6777176
ACA - 91,AIR CANADA,Internacional,2016-03-13 21:35:00+00:00,2016-03-13T21:00:00Z,2016-03-14T08:25:00Z,2016-03-14T08:25:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Toronto,Toronto,N/I,Canada,-79.6248197,43.6777176,-46.478126,-23.4345529
AFR - 515,AIR FRANCE,Internacional,2016-03-13 23:16:00+00:00,2016-03-13T23:16:00Z,2016-03-14T10:10:00Z,2016-03-14T10:10:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-47.9172348,-15.8697369
AFR - 520,AIR FRANCE,Internacional,2016-03-13 06:30:00+00:00,2016-03-13T06:30:00Z,2016-03-13T17:48:00Z,2016-03-13T17:48:00Z,Realizado,,Paris,Paris,N/I,Franca,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,2.5479245,49.0096906
AUT - 2222,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 14:20:00+00:00,2016-03-13T14:20:00Z,2016-03-13T17:00:00Z,2016-03-13T17:00:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.536759,-34.816662
AUT - 2223,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 17:30:00+00:00,2016-03-13T17:30:00Z,2016-03-13T20:25:00Z,2016-03-13T20:25:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
AUT - 2230,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 16:50:00+00:00,2016-03-13T16:50:00Z,2016-03-13T19:25:00Z,2016-03-13T19:25:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-58.536759,-34.816662
AUT - 2231,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 20:05:00+00:00,2016-03-13T20:05:00Z,2016-03-13T20:50:00Z,2016-03-13T20:50:00Z,Realizado,,Salgado Filho,Porto Alegre,RS,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-51.1753811,-29.9934732
AUT - 2240,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 07:00:00+00:00,2016-03-13T07:00:00Z,2016-03-13T09:45:00Z,2016-03-13T09:45:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.536759,-34.816662
AUT - 2241,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 10:45:00+00:00,2016-03-13T10:45:00Z,2016-03-13T13:25:00Z,2016-03-13T13:25:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
AUT - 2250,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 09:45:00+00:00,2016-03-13T09:45:00Z,2016-03-13T13:45:00Z,2016-03-13T13:45:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-58.536759,-34.816662
AUT - 2251,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 14:25:00+00:00,2016-03-13T14:25:00Z,2016-03-13T16:50:00Z,2016-03-13T16:50:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-43.2494233,-22.8134098
AUT - 2268,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 06:10:00+00:00,2016-03-13T06:10:00Z,2016-03-13T09:26:00Z,2016-03-13T09:26:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-58.536759,-34.816662
AUT - 2269,AUSTRAL LINEAS AREAS CIELOS DEL SUR S.A,Internacional,2016-03-13 10:09:00+00:00,2016-03-13T10:09:00Z,2016-03-13T13:50:00Z,2016-03-13T13:50:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-47.9172348,-15.8697369
AZU - 2405,AZUL,Regional,2016-03-13 13:05:00+00:00,,2016-03-13T14:20:00Z,,Cancelado,AUTORIZADO,Santos Dumont,Rio De Janeiro,RJ,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-43.1648755,-22.9111438
AZU - 2406,AZUL,Nacional,2016-03-13 19:25:00+00:00,2016-03-13T19:04:00Z,2016-03-13T20:33:00Z,2016-03-13T20:08:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Santos Dumont,Rio De Janeiro,RJ,Brasil,-43.1648755,-22.9111438,-46.478126,-23.4345529
AZU - 2408,AZUL,Nacional,2016-03-13 17:15:00+00:00,2016-03-13T17:10:00Z,2016-03-13T18:22:00Z,2016-03-13T18:12:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Eurico De Aguiar Salles,Vitoria,ES,Brasil,Santos Dumont,Rio De Janeiro,RJ,Brasil,-43.1648755,-22.9111438,-40.2835346,-20.2576489
AZU - 2413,AZUL,Nacional,2016-03-13 13:05:00+00:00,2016-03-13T13:00:00Z,2016-03-13T14:30:00Z,2016-03-13T14:14:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Tancredo Neves,Confins,MG,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-43.965396,-19.634099
AZU - 2414,AZUL,Nacional,2016-03-13 15:00:00+00:00,2016-03-13T14:48:00Z,2016-03-13T16:22:00Z,2016-03-13T15:53:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-46.478126,-23.4345529
AZU - 2415,AZUL,Nacional,2016-03-13 16:54:00+00:00,2016-03-13T16:51:00Z,2016-03-13T18:30:00Z,2016-03-13T18:07:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Tancredo Neves,Confins,MG,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-43.965396,-19.634099
AZU - 2416,AZUL,Nacional,2016-03-13 18:55:00+00:00,2016-03-13T18:59:00Z,2016-03-13T20:07:00Z,2016-03-13T20:04:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-46.478126,-23.4345529
