Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2017-03-03 00:25:00+00:00,2017-03-03T00:25:00Z,2017-03-03T08:00:00Z,2017-03-03T08:00:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2017-03-03 22:55:00+00:00,2017-03-03T22:55:00Z,2017-03-04T06:50:00Z,2017-03-04T06:50:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 904,AMERICAN AIRLINES INC,Internacional,2017-03-03 21:40:00+00:00,2017-03-03T21:40:00Z,2017-03-04T06:35:00Z,2017-03-04T06:35:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2017-03-03 00:50:00+00:00,2017-03-03T02:34:00Z,2017-03-03T09:20:00Z,2017-03-03T10:57:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2017-03-03 00:30:00+00:00,2017-03-03T00:30:00Z,2017-03-03T09:00:00Z,2017-03-03T09:00:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2017-03-03 20:10:00+00:00,2017-03-03T22:06:00Z,2017-03-04T06:35:00Z,2017-03-04T06:23:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2017-03-03 22:05:00+00:00,2017-03-03T22:05:00Z,2017-03-04T06:40:00Z,2017-03-04T06:40:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 950,AMERICAN AIRLINES INC,Internacional,2017-03-03 22:30:00+00:00,2017-03-03T22:30:00Z,2017-03-04T08:20:00Z,2017-03-04T08:20:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
AAL - 951,AMERICAN AIRLINES INC,Internacional,2017-03-03 00:45:00+00:00,2017-03-03T00:45:00Z,2017-03-03T10:20:00Z,2017-03-03T10:20:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 964,AMERICAN AIRLINES INC,Internacional,2017-03-03 00:59:00+00:00,2017-03-03T00:59:00Z,2017-03-03T06:24:00Z,2017-03-03T06:24:00Z,Realizado,,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
AAL - 973,AMERICAN AIRLINES INC,Internacional,2017-03-03 23:45:00+00:00,2017-03-03T23:45:00Z,2017-03-04T09:30:00Z,2017-03-04T09:30:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-73.7781391,40.6413111
