Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 6963,AZUL,Nacional,2015-07-07 02:23:00+00:00,2015-07-07T02:23:00Z,2015-07-07T05:48:00Z,2015-07-07T05:48:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-38.5330966,-3.7771555
AAL - 992,AMERICAN AIRLINES INC,Internacional,2015-07-07 21:00:00+00:00,2015-07-07T21:00:00Z,2015-07-08T05:49:00Z,2015-07-08T05:49:00Z,Realizado,,Tancredo Neves,Confins,MG,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.965396,-19.634099
AVA - 85,AVIANCA,Internacional,2015-07-07 23:55:00+00:00,2015-07-06T23:58:00Z,2015-07-08T05:50:00Z,2015-07-07T05:42:00Z,Realizado,AEROPORTO DE ORIGEM INTERDITADO,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
ARE - 3505,AIRES - LAN COLOMBIA,Internacional,2015-07-07 23:30:00+00:00,2015-07-07T23:30:00Z,2015-07-08T05:50:00Z,2015-07-08T05:50:00Z,Realizado,,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
TAM - 8148,TAM,Internacional,2015-07-07 01:35:00+00:00,,2015-07-07T05:50:00Z,,Cancelado,CANCELAMENTO - AEROPORTO DESTINO ABAIXO LIMITES,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Santiago Do Chile,Santiago Do Chile,N/I,Chile,-70.7972354,-33.3911894,-46.478126,-23.4345529
SWR - 92,SWISSAIR,Internacional,2015-07-07 17:40:00+00:00,2015-07-07T17:40:00Z,2015-07-08T05:50:00Z,2015-07-08T05:50:00Z,Realizado,,Zurique,Zurique,N/I,Suica,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,8.5554755,47.4582165
GLO - 1335,GOL,Nacional,2015-07-07 02:58:00+00:00,2015-07-07T02:58:00Z,2015-07-07T05:51:00Z,2015-07-07T05:51:00Z,Realizado,,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,Brasil,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-63.89832,-8.7141702
TAM - 8101,TAM,Internacional,2015-07-07 18:10:00+00:00,2015-07-07T18:10:00Z,2015-07-08T05:55:00Z,2015-07-08T05:55:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
AZU - 4289,AZUL,Nacional,2015-07-07 04:35:00+00:00,2015-07-07T04:25:00Z,2015-07-07T06:00:00Z,2015-07-07T05:38:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
GLO - 1161,GOL,Nacional,2015-07-07 03:29:00+00:00,2015-07-07T03:25:00Z,2015-07-07T06:00:00Z,2015-07-07T06:37:00Z,Realizado,AEROPORTO COM RESTRICOES OPERACIONAIS,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.3312411,-12.9110977
GLO - 1764,GOL,Nacional,2015-07-07 03:07:00+00:00,2015-07-07T03:27:00Z,2015-07-07T06:00:00Z,2015-07-07T06:33:00Z,Realizado,FACILIDADES DO AEROPORTO - RESTRICOES DE APOIO,Eduardo Gomes,Manaus,AM,Brasil,Pinto Martins,Fortaleza,CE,Brasil,-38.5330966,-3.7771555,-60.0463249,-3.0358474
