Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 6963,AZUL,Nacional,2015-02-07 02:23:00+00:00,2015-02-07T03:10:00Z,2015-02-07T05:48:00Z,2015-02-07T06:35:00Z,Realizado,CONEXAO DE AERONAVE,Pinto Martins,Fortaleza,CE,Brasil,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-38.5330966,-3.7771555
AZU - 2505,AZUL,Nacional,2015-02-07 05:10:00+00:00,2015-02-07T05:10:00Z,2015-02-07T05:50:00Z,2015-02-07T06:08:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Santa Maria,Santa Maria,RS,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-53.7008735,-29.7079582
GLO - 7491,GOL,Internacional,2015-02-07 01:20:00+00:00,2015-02-07T01:20:00Z,2015-02-07T05:50:00Z,2015-02-07T05:50:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Buenos Aires,Buenos Aires,N/I,Argentina,-58.5348284,-34.8150044,-38.3312411,-12.9110977
GLO - 1335,GOL,Nacional,2015-02-07 02:58:00+00:00,,2015-02-07T05:51:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,Brasil,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-63.89832,-8.7141702
AZU - 4191,AZUL,Nacional,2015-02-07 02:44:00+00:00,2015-02-07T02:34:00Z,2015-02-07T05:55:00Z,2015-02-07T05:43:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Val De Cans,Belem,PA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-48.4775227,-1.3820615
GLO - 1821,GOL,Nacional,2015-02-07 02:20:00+00:00,2015-02-07T02:20:00Z,2015-02-07T05:55:00Z,2015-02-07T05:55:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.5330966,-3.7771555
TAM - 8101,TAM,Internacional,2015-02-07 18:10:00+00:00,2015-02-07T18:10:00Z,2015-02-08T05:55:00Z,2015-02-08T05:55:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
SAA - 224,SOUTH µFRICAN AIRWAYS,Internacional,2015-02-07 19:40:00+00:00,2015-02-07T19:40:00Z,2015-02-08T05:55:00Z,2015-02-08T05:55:00Z,Realizado,,Johannesburg,Johannesburg,N/I,Africa Do Sul,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,28.2411459,-26.1366728
AZU - 2899,AZUL,Regional,2015-02-07 03:25:00+00:00,2015-02-07T03:25:00Z,2015-02-07T05:55:00Z,2015-02-07T05:55:00Z,Realizado,,Marechal Rondon,Varzea Grande,MT,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-56.1172687,-15.6530786
TPU - 917,TRASAMERICA  AIRLINES-TACAPERU,Internacional,2015-02-07 00:55:00+00:00,2015-02-07T00:54:00Z,2015-02-07T05:55:00Z,2015-02-07T05:54:00Z,Realizado,,Lima,Lima,N/I,Peru,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-77.1074414,-12.0436644
GLO - 1833,GOL,Nacional,2015-02-07 02:30:00+00:00,2015-02-07T02:52:00Z,2015-02-07T05:57:00Z,2015-02-07T05:59:00Z,Realizado,FACILIDADES DO AEROPORTO - RESTRICOES DE APOIO,Marechal Cunha Machado,Sao Luis,MA,Brasil,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-44.2348802,-2.5849927
AZU - 2745,AZUL,Regional,2015-02-07 03:05:00+00:00,2015-02-07T03:05:00Z,2015-02-07T05:58:00Z,2015-02-07T05:58:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-38.5330966,-3.7771555
AZU - 5149,AZUL,Nacional,2015-02-07 04:35:00+00:00,2015-02-07T05:14:00Z,2015-02-07T06:00:00Z,2015-02-07T06:33:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
GLO - 1856,GOL,Nacional,2015-02-07 04:35:00+00:00,2015-02-07T04:34:00Z,2015-02-07T06:00:00Z,2015-02-07T06:16:00Z,Realizado,AEROPORTO COM RESTRICOES OPERACIONAIS,Santa Genoveva,Goiania,GO,Brasil,Congonhas,Sao Paulo,SP,Brasil,-46.6565842,-23.6273246,-49.2221166,-16.632488
