Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2017-02-11 01:20:00+00:00,2017-02-11T01:20:00Z,2017-02-11T09:00:00Z,2017-02-11T09:00:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2017-02-11 23:55:00+00:00,2017-02-11T23:55:00Z,2017-02-12T07:45:00Z,2017-02-12T07:45:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 233,AMERICAN AIRLINES INC,Internacional,2017-02-11 12:45:00+00:00,2017-02-11T12:45:00Z,2017-02-11T21:25:00Z,2017-02-11T21:25:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2017-02-11 12:00:00+00:00,2017-02-11T12:00:00Z,2017-02-11T20:30:00Z,2017-02-11T20:30:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 901,AMERICAN AIRLINES INC,Internacional,2017-02-11 22:15:00+00:00,2017-02-11T22:15:00Z,2017-02-12T07:50:00Z,2017-02-12T07:50:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 904,AMERICAN AIRLINES INC,Internacional,2017-02-11 22:40:00+00:00,2017-02-11T22:40:00Z,2017-02-12T07:35:00Z,2017-02-12T07:35:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2017-02-11 01:30:00+00:00,2017-02-11T01:30:00Z,2017-02-11T10:00:00Z,2017-02-11T10:00:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2017-02-11 01:30:00+00:00,2017-02-11T01:30:00Z,2017-02-11T09:55:00Z,2017-02-11T09:55:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2017-02-11 23:00:00+00:00,2017-02-11T23:07:00Z,2017-02-12T07:35:00Z,2017-02-12T08:14:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2017-02-11 23:05:00+00:00,2017-02-11T23:05:00Z,2017-02-12T07:40:00Z,2017-02-12T07:40:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 950,AMERICAN AIRLINES INC,Internacional,2017-02-11 23:30:00+00:00,2017-02-11T23:30:00Z,2017-02-12T09:25:00Z,2017-02-12T09:25:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
AAL - 951,AMERICAN AIRLINES INC,Internacional,2017-02-11 01:35:00+00:00,2017-02-11T01:35:00Z,2017-02-11T11:20:00Z,2017-02-11T11:20:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 973,AMERICAN AIRLINES INC,Internacional,2017-02-11 00:45:00+00:00,2017-02-11T00:45:00Z,2017-02-11T10:30:00Z,2017-02-11T10:30:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-73.7781391,40.6413111
AAL - 974,AMERICAN AIRLINES INC,Internacional,2017-02-11 23:30:00+00:00,2017-02-11T23:30:00Z,2017-02-12T09:35:00Z,2017-02-12T09:35:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-43.2494233,-22.8134098
AAL - 991,AMERICAN AIRLINES INC,Internacional,2017-02-11 01:05:00+00:00,2017-02-11T01:05:00Z,2017-02-11T09:20:00Z,2017-02-11T09:20:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-80.2870457,25.795865
AAL - 992,AMERICAN AIRLINES INC,Internacional,2017-02-11 23:25:00+00:00,2017-02-11T23:25:00Z,2017-02-12T07:50:00Z,2017-02-12T07:50:00Z,Realizado,,Tancredo Neves,Confins,MG,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.965396,-19.634099
AAL - 995,AMERICAN AIRLINES INC,Internacional,2017-02-11 01:00:00+00:00,2017-02-11T01:00:00Z,2017-02-11T09:25:00Z,2017-02-11T09:25:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 1265,AMERICAN AIRLINES INC,Internacional,2017-02-11 18:25:00+00:00,2017-02-11T18:25:00Z,2017-02-11T23:40:00Z,2017-02-11T23:40:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Eduardo Gomes,Manaus,AM,Brasil,-60.0463249,-3.0358474,-80.2870457,25.795865
