Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2016-07-10 22:39:00+00:00,2016-07-10T22:39:00Z,2016-07-11T06:19:00Z,2016-07-11T06:19:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2016-07-10 21:57:00+00:00,2016-07-10T21:57:00Z,2016-07-11T05:52:00Z,2016-07-11T05:52:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 233,AMERICAN AIRLINES INC,Internacional,2016-07-10 11:05:00+00:00,2016-07-10T10:54:00Z,2016-07-10T19:35:00Z,2016-07-10T18:58:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2016-07-10 10:00:00+00:00,2016-07-10T11:03:00Z,2016-07-10T18:35:00Z,2016-07-10T19:32:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 904,AMERICAN AIRLINES INC,Internacional,2016-07-10 20:15:00+00:00,2016-07-10T20:15:00Z,2016-07-11T05:10:00Z,2016-07-11T05:10:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2016-07-10 23:25:00+00:00,2016-07-11T10:36:00Z,2016-07-11T07:45:00Z,2016-07-11T18:38:00Z,Realizado,OPERACAO DE VOO COM MAIS DE 04 HORAS DE ATRASO PANE AERONAVE,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2016-07-10 23:25:00+00:00,2016-07-10T23:25:00Z,2016-07-11T08:00:00Z,2016-07-11T08:00:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2016-07-10 20:50:00+00:00,2016-07-10T21:25:00Z,2016-07-11T04:55:00Z,2016-07-11T05:51:00Z,Realizado,CONEXAO DE AERONAVE,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2016-07-10 21:25:00+00:00,2016-07-10T21:25:00Z,2016-07-11T06:00:00Z,2016-07-11T06:00:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 950,AMERICAN AIRLINES INC,Internacional,2016-07-10 21:30:00+00:00,2016-07-10T21:30:00Z,2016-07-11T07:20:00Z,2016-07-11T07:20:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
AAL - 951,AMERICAN AIRLINES INC,Internacional,2016-07-10 23:15:00+00:00,2016-07-10T23:15:00Z,2016-07-11T08:55:00Z,2016-07-11T08:55:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 964,AMERICAN AIRLINES INC,Internacional,2016-07-10 00:00:00+00:00,2016-07-10T00:00:00Z,2016-07-10T05:25:00Z,2016-07-10T05:25:00Z,Realizado,,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
AAL - 973,AMERICAN AIRLINES INC,Internacional,2016-07-10 22:40:00+00:00,2016-07-10T22:40:00Z,2016-07-11T08:35:00Z,2016-07-11T08:35:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-73.7781391,40.6413111
AAL - 974,AMERICAN AIRLINES INC,Internacional,2016-07-10 21:15:00+00:00,2016-07-10T21:15:00Z,2016-07-11T07:30:00Z,2016-07-11T07:30:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-43.2494233,-22.8134098
AAL - 990,AMERICAN AIRLINES INC,Internacional,2016-07-10 22:50:00+00:00,,2016-07-11T07:55:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 992,AMERICAN AIRLINES INC,Internacional,2016-07-10 21:56:00+00:00,2016-07-10T21:56:00Z,2016-07-11T06:25:00Z,2016-07-11T06:25:00Z,Realizado,,Tancredo Neves,Confins,MG,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.965396,-19.634099
AAL - 995,AMERICAN AIRLINES INC,Internacional,2016-07-10 23:05:00+00:00,2016-07-11T00:05:00Z,2016-07-11T07:25:00Z,2016-07-11T08:06:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 1265,AMERICAN AIRLINES INC,Internacional,2016-07-10 16:30:00+00:00,2016-07-10T17:20:00Z,2016-07-10T21:48:00Z,2016-07-10T22:24:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Eduardo Gomes,Manaus,AM,Brasil,-60.0463249,-3.0358474,-80.2870457,25.795865
ACA - 90,AIR CANADA,Internacional,2016-07-10 23:00:00+00:00,2016-07-10T02:13:00Z,2016-07-11T10:25:00Z,2016-07-10T12:09:00Z,Realizado,DEFEITOS DA AERONAVE,Toronto,Toronto,N/I,Canada,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-79.6248197,43.6777176
ACA - 91,AIR CANADA,Internacional,2016-07-10 20:05:00+00:00,2016-07-10T20:05:00Z,2016-07-11T06:40:00Z,2016-07-11T06:40:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Toronto,Toronto,N/I,Canada,-79.6248197,43.6777176,-46.478126,-23.4345529
AEA - 57,AIR EUROPA S/A,Internacional,2016-07-10 18:10:00+00:00,2016-07-10T20:03:00Z,2016-07-11T05:15:00Z,2016-07-11T06:11:00Z,Realizado,DEFEITOS DA AERONAVE,Madrid,Madrid,N/I,Espanha,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-3.5679515,40.4839361
AEA - 58,AIR EUROPA S/A,Internacional,2016-07-10 14:00:00+00:00,2016-07-10T14:00:00Z,2016-07-11T00:30:00Z,2016-07-11T00:30:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-46.478126,-23.4345529
AFR - 426,AIR FRANCE,Internacional,2016-07-10 08:30:00+00:00,2016-07-10T08:30:00Z,2016-07-10T20:15:00Z,2016-07-10T20:15:00Z,Realizado,,Paris,Paris,N/I,Franca,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,2.5479245,49.0096906
AFR - 427,AIR FRANCE,Internacional,2016-07-10 22:05:00+00:00,2016-07-10T22:05:00Z,2016-07-11T09:25:00Z,2016-07-11T09:25:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-43.2494233,-22.8134098
AFR - 442,AIR FRANCE,Internacional,2016-07-10 18:35:00+00:00,2016-07-10T18:35:00Z,2016-07-11T05:40:00Z,2016-07-11T05:40:00Z,Realizado,,Paris,Paris,N/I,Franca,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,2.5479245,49.0096906
AFR - 443,AIR FRANCE,Internacional,2016-07-10 16:05:00+00:00,2016-07-10T16:05:00Z,2016-07-11T03:00:00Z,2016-07-11T03:00:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-43.2494233,-22.8134098
AFR - 454,AIR FRANCE,Internacional,2016-07-10 18:20:00+00:00,2016-07-10T18:20:00Z,2016-07-11T06:15:00Z,2016-07-11T06:15:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
AFR - 456,AIR FRANCE,Internacional,2016-07-10 05:30:00+00:00,2016-07-10T05:30:00Z,2016-07-10T17:10:00Z,2016-07-10T17:10:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
AFR - 457,AIR FRANCE,Internacional,2016-07-10 15:45:00+00:00,2016-07-10T15:45:00Z,2016-07-11T03:00:00Z,2016-07-11T03:00:00Z,Realizado,TROCA DE AERONAVE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-46.478126,-23.4345529
AFR - 459,AIR FRANCE,Internacional,2016-07-10 19:10:00+00:00,2016-07-10T19:10:00Z,2016-07-11T06:20:00Z,2016-07-11T06:20:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-46.478126,-23.4345529
AFR - 515,AIR FRANCE,Internacional,2016-07-10 22:30:00+00:00,2016-07-10T22:30:00Z,2016-07-11T09:10:00Z,2016-07-11T09:10:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-47.9172348,-15.8697369
AFR - 520,AIR FRANCE,Internacional,2016-07-10 08:30:00+00:00,2016-07-10T08:30:00Z,2016-07-10T19:35:00Z,2016-07-10T19:35:00Z,Realizado,,Paris,Paris,N/I,Franca,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,2.5479245,49.0096906
ARE - 3505,AIRES - LAN COLOMBIA,Internacional,2016-07-10 23:30:00+00:00,2016-07-10T23:30:00Z,2016-07-11T05:50:00Z,2016-07-11T05:50:00Z,Realizado,,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
ARE - 3506,AIRES - LAN COLOMBIA,Internacional,2016-07-10 14:40:00+00:00,2016-07-10T14:40:00Z,2016-07-10T21:00:00Z,2016-07-10T21:00:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Bogota,Bogota,N/I,Colombia,-74.1444969,4.7014128,-46.478126,-23.4345529
ARG - 1228,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 21:30:00+00:00,2016-07-10T21:30:00Z,2016-07-11T01:55:00Z,2016-07-11T01:55:00Z,Realizado,,Buenos Aires,Buenos Aires,N/I,Argentina,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-58.5348284,-34.8150044
ARG - 1229,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 02:45:00+00:00,2016-07-10T02:45:00Z,2016-07-10T07:35:00Z,2016-07-10T07:35:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Buenos Aires,Buenos Aires,N/I,Argentina,-58.5348284,-34.8150044,-38.3312411,-12.9110977
ARG - 1240,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 07:05:00+00:00,2016-07-10T07:05:00Z,2016-07-10T09:45:00Z,2016-07-10T09:45:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.536759,-34.816662
ARG - 1241,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 10:30:00+00:00,2016-07-10T10:30:00Z,2016-07-10T13:35:00Z,2016-07-10T13:35:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
ARG - 1242,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 20:00:00+00:00,2016-07-10T20:00:00Z,2016-07-10T22:45:00Z,2016-07-10T22:45:00Z,Realizado,,Buenos Aires,Buenos Aires,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.5348284,-34.8150044
ARG - 1243,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 23:25:00+00:00,2016-07-10T23:25:00Z,2016-07-11T02:20:00Z,2016-07-11T02:20:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
ARG - 1244,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 15:20:00+00:00,2016-07-10T15:20:00Z,2016-07-10T18:20:00Z,2016-07-10T18:20:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.536759,-34.816662
ARG - 1245,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 19:00:00+00:00,2016-07-10T19:00:00Z,2016-07-10T21:55:00Z,2016-07-10T21:55:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
ARG - 1248,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 19:35:00+00:00,2016-07-10T19:35:00Z,2016-07-10T22:15:00Z,2016-07-10T22:15:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.536759,-34.816662
ARG - 1249,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 05:50:00+00:00,2016-07-10T05:50:00Z,2016-07-10T08:45:00Z,2016-07-10T08:45:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
ARG - 1250,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 13:55:00+00:00,2016-07-10T13:55:00Z,2016-07-10T16:50:00Z,2016-07-10T16:50:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-58.536759,-34.816662
ARG - 1251,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 17:30:00+00:00,2016-07-10T17:30:00Z,2016-07-10T20:50:00Z,2016-07-10T20:50:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Buenos Aires,Buenos Aires,N/I,Argentina,-58.5348284,-34.8150044,-43.2494233,-22.8134098
ARG - 1274,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 09:40:00+00:00,2016-07-10T09:40:00Z,2016-07-10T12:25:00Z,2016-07-10T12:25:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-58.536759,-34.816662
ARG - 1275,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 13:15:00+00:00,2016-07-10T13:15:00Z,2016-07-10T16:10:00Z,2016-07-10T16:10:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-46.478126,-23.4345529
ARG - 1292,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 06:20:00+00:00,2016-07-10T06:20:00Z,2016-07-10T09:30:00Z,2016-07-10T09:30:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-58.536759,-34.816662
ARG - 1293,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 10:10:00+00:00,2016-07-10T10:10:00Z,2016-07-10T13:25:00Z,2016-07-10T13:25:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-43.2494233,-22.8134098
ARG - 1294,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 18:20:00+00:00,,2016-07-10T21:20:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Buenos Aires,Buenos Aires,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-58.5348284,-34.8150044
ARG - 1295,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 21:50:00+00:00,,2016-07-11T01:20:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,-58.536759,-34.816662,-43.2494233,-22.8134098
ARG - 1296,AEROLINEAS ARGENTINAS,Internacional,2016-07-10 20:30:00+00:00,2016-07-10T20:30:00Z,2016-07-10T23:30:00Z,2016-07-10T23:30:00Z,Realizado,,Buenos Aires/Aeroparque,Buenos Aires/Aeroparque,N/I,Argentina,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-58.536759,-34.816662
