Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2016-07-02 22:39:00+00:00,2016-07-02T22:39:00Z,2016-07-03T06:19:00Z,2016-07-03T06:19:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2016-07-02 21:57:00+00:00,2016-07-02T21:57:00Z,2016-07-03T05:52:00Z,2016-07-03T05:52:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 233,AMERICAN AIRLINES INC,Internacional,2016-07-02 11:05:00+00:00,2016-07-02T11:05:00Z,2016-07-02T19:35:00Z,2016-07-02T19:35:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2016-07-02 10:00:00+00:00,2016-07-02T10:00:00Z,2016-07-02T18:35:00Z,2016-07-02T18:35:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 901,AMERICAN AIRLINES INC,Internacional,2016-07-02 21:10:00+00:00,2016-07-02T23:30:00Z,2016-07-03T05:50:00Z,2016-07-03T08:03:00Z,Realizado,CONEXAO DE AERONAVE,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 904,AMERICAN AIRLINES INC,Internacional,2016-07-02 20:15:00+00:00,2016-07-02T20:15:00Z,2016-07-03T05:10:00Z,2016-07-03T05:10:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2016-07-02 23:25:00+00:00,2016-07-02T23:25:00Z,2016-07-03T07:45:00Z,2016-07-03T07:45:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2016-07-02 23:25:00+00:00,2016-07-02T23:19:00Z,2016-07-03T08:00:00Z,2016-07-03T07:17:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2016-07-02 20:50:00+00:00,2016-07-02T20:50:00Z,2016-07-03T04:55:00Z,2016-07-03T04:55:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2016-07-02 21:25:00+00:00,2016-07-02T22:12:00Z,2016-07-03T06:00:00Z,2016-07-03T06:02:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 950,AMERICAN AIRLINES INC,Internacional,2016-07-02 21:30:00+00:00,,2016-07-03T07:20:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
AAL - 951,AMERICAN AIRLINES INC,Internacional,2016-07-02 23:15:00+00:00,2016-07-02T23:15:00Z,2016-07-03T08:55:00Z,2016-07-03T08:55:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 964,AMERICAN AIRLINES INC,Internacional,2016-07-02 00:00:00+00:00,2016-07-02T00:00:00Z,2016-07-02T05:25:00Z,2016-07-02T05:25:00Z,Realizado,,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
AAL - 973,AMERICAN AIRLINES INC,Internacional,2016-07-02 22:40:00+00:00,2016-07-02T22:40:00Z,2016-07-03T08:35:00Z,2016-07-03T08:35:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-73.7781391,40.6413111
AAL - 974,AMERICAN AIRLINES INC,Internacional,2016-07-02 21:15:00+00:00,,2016-07-03T07:30:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-43.2494233,-22.8134098
AAL - 991,AMERICAN AIRLINES INC,Internacional,2016-07-02 22:50:00+00:00,2016-07-03T03:23:00Z,2016-07-03T06:52:00Z,2016-07-03T11:20:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-80.2870457,25.795865
AAL - 995,AMERICAN AIRLINES INC,Internacional,2016-07-02 23:05:00+00:00,2016-07-02T23:47:00Z,2016-07-03T07:25:00Z,2016-07-03T07:50:00Z,Realizado,FACILIDADES DO AEROPORTO - RESTRICOES DE APOIO,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 1265,AMERICAN AIRLINES INC,Internacional,2016-07-02 16:30:00+00:00,2016-07-02T16:30:00Z,2016-07-02T21:48:00Z,2016-07-02T21:48:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Eduardo Gomes,Manaus,AM,Brasil,-60.0463249,-3.0358474,-80.2870457,25.795865
ACA - 90,AIR CANADA,Internacional,2016-07-02 23:00:00+00:00,2016-07-02T00:53:00Z,2016-07-03T10:25:00Z,2016-07-02T11:20:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Toronto,Toronto,N/I,Canada,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-79.6248197,43.6777176
ACA - 91,AIR CANADA,Internacional,2016-07-02 20:05:00+00:00,2016-07-02T20:05:00Z,2016-07-03T06:40:00Z,2016-07-03T06:26:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Toronto,Toronto,N/I,Canada,-79.6248197,43.6777176,-46.478126,-23.4345529
ACA - 98,AIR CANADA,Internacional,2016-07-02 00:10:00+00:00,2016-07-02T00:10:00Z,2016-07-02T10:25:00Z,2016-07-02T10:25:00Z,Realizado,,Toronto,Toronto,N/I,Canada,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-79.6248197,43.6777176
ACA - 99,AIR CANADA,Internacional,2016-07-02 20:05:00+00:00,2016-07-02T20:05:00Z,2016-07-03T06:40:00Z,2016-07-03T06:40:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Toronto,Toronto,N/I,Canada,-79.6248197,43.6777176,-43.2494233,-22.8134098
AEA - 57,AIR EUROPA S/A,Internacional,2016-07-02 18:10:00+00:00,2016-07-02T18:55:00Z,2016-07-03T05:15:00Z,2016-07-03T05:06:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Madrid,Madrid,N/I,Espanha,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-3.5679515,40.4839361
AEA - 58,AIR EUROPA S/A,Internacional,2016-07-02 14:00:00+00:00,2016-07-02T14:02:00Z,2016-07-03T00:30:00Z,2016-07-03T00:03:00Z,Realizado,AEROPORTO COM RESTRICOES OPERACIONAIS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-46.478126,-23.4345529
AEA - 83,AIR EUROPA S/A,Internacional,2016-07-02 10:25:00+00:00,2016-07-02T11:42:00Z,2016-07-02T19:35:00Z,2016-07-02T20:03:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Madrid,Madrid,N/I,Espanha,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-3.5679515,40.4839361
AEA - 84,AIR EUROPA S/A,Internacional,2016-07-02 21:47:00+00:00,2016-07-02T22:25:00Z,2016-07-03T06:30:00Z,2016-07-03T06:37:00Z,Realizado,MIGRACAO/ALFANDEGA/SAUDE,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-38.3312411,-12.9110977
AFR - 426,AIR FRANCE,Internacional,2016-07-02 08:30:00+00:00,2016-07-02T08:30:00Z,2016-07-02T20:15:00Z,2016-07-02T20:15:00Z,Realizado,,Paris,Paris,N/I,Franca,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,2.5479245,49.0096906
AFR - 427,AIR FRANCE,Internacional,2016-07-02 22:05:00+00:00,2016-07-02T22:14:00Z,2016-07-03T09:25:00Z,2016-07-03T09:56:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-43.2494233,-22.8134098
AFR - 442,AIR FRANCE,Internacional,2016-07-02 18:35:00+00:00,2016-07-02T18:35:00Z,2016-07-03T05:40:00Z,2016-07-03T05:40:00Z,Realizado,,Paris,Paris,N/I,Franca,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,2.5479245,49.0096906
AFR - 443,AIR FRANCE,Internacional,2016-07-02 16:05:00+00:00,2016-07-02T16:05:00Z,2016-07-03T03:00:00Z,2016-07-03T03:00:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-43.2494233,-22.8134098
AFR - 454,AIR FRANCE,Internacional,2016-07-02 18:20:00+00:00,2016-07-02T18:20:00Z,2016-07-03T06:15:00Z,2016-07-03T06:15:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
