Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 6963,AZUL,Nacional,2015-05-02 02:23:00+00:00,2015-05-02T02:23:00Z,2015-05-02T05:48:00Z,2015-05-02T05:48:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-38.5330966,-3.7771555
ARE - 3505,AIRES - LAN COLOMBIA,Internacional,2015-05-02 23:30:00+00:00,2015-05-02T23:30:00Z,2015-05-03T05:50:00Z,2015-05-03T05:50:00Z,Realizado,,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
TAP - 32,TAP AIR PORTUGAL,Internacional,2015-05-02 22:45:00+00:00,2015-05-02T22:45:00Z,2015-05-03T05:50:00Z,2015-05-03T05:50:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Lisboa,Lisboa,N/I,Portugal,-9.1353667,38.7755936,-38.5330966,-3.7771555
AZU - 2505,AZUL,Regional,2015-05-02 05:10:00+00:00,,2015-05-02T05:50:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Santa Maria,Santa Maria,RS,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-53.7008735,-29.7079582
GLO - 7491,GOL,Internacional,2015-05-02 01:20:00+00:00,2015-05-02T01:20:00Z,2015-05-02T05:50:00Z,2015-05-02T05:50:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Buenos Aires,Buenos Aires,N/I,Argentina,-58.5348284,-34.8150044,-38.3312411,-12.9110977
SWR - 92,SWISSAIR,Internacional,2015-05-02 17:40:00+00:00,2015-05-02T17:40:00Z,2015-05-03T05:50:00Z,2015-05-03T05:50:00Z,Realizado,,Zurique,Zurique,N/I,Suica,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,8.5554755,47.4582165
GLO - 1335,GOL,Nacional,2015-05-02 02:58:00+00:00,,2015-05-02T05:51:00Z,,Cancelado,PROGRAMADO - FERIADO NACIONAL,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,Brasil,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-63.89832,-8.7141702
TAM - 8101,TAM,Internacional,2015-05-02 18:10:00+00:00,2015-05-02T18:10:00Z,2015-05-03T05:55:00Z,2015-05-03T05:55:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
TAM - 3667,TAM,Nacional,2015-05-02 02:44:00+00:00,2015-05-02T02:44:00Z,2015-05-02T05:55:00Z,2015-05-02T05:55:00Z,Realizado,,Senador Petronio Portella,Teresina,PI,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-42.8211703,-5.0635434
GLO - 1833,GOL,Nacional,2015-05-02 02:30:00+00:00,,2015-05-02T05:57:00Z,,Cancelado,PROGRAMADO - FERIADO NACIONAL,Marechal Cunha Machado,Sao Luis,MA,Brasil,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-44.2348802,-2.5849927
AZU - 2745,AZUL,Regional,2015-05-02 03:05:00+00:00,,2015-05-02T05:58:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Pinto Martins,Fortaleza,CE,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-38.5330966,-3.7771555
GLO - 1901,GOL,Nacional,2015-05-02 02:50:00+00:00,2015-05-02T02:46:00Z,2015-05-02T06:00:00Z,2015-05-02T06:22:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Marechal Cunha Machado,Sao Luis,MA,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-44.2348802,-2.5849927
GLO - 1856,GOL,Nacional,2015-05-02 04:35:00+00:00,2015-05-02T04:35:00Z,2015-05-02T06:00:00Z,2015-05-02T06:00:00Z,Realizado,,Santa Genoveva,Goiania,GO,Brasil,Congonhas,Sao Paulo,SP,Brasil,-46.6565842,-23.6273246,-49.2221166,-16.632488
DAL - 105,DELTA AIRLINES,Internacional,2015-05-02 20:25:00+00:00,2015-05-02T20:25:00Z,2015-05-03T06:00:00Z,2015-05-03T06:00:00Z,Realizado,,Atlanta/Intl,Atlanta/Intl,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-84.4277001,33.6407282
GLO - 2101,GOL,Nacional,2015-05-02 02:20:00+00:00,,2015-05-02T06:00:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Pinto Martins,Fortaleza,CE,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.5330966,-3.7771555
GLO - 1161,GOL,Regional,2015-05-02 03:29:00+00:00,,2015-05-02T06:00:00Z,,Cancelado,PROGRAMADO - FERIADO NACIONAL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.3312411,-12.9110977
AZU - 4289,AZUL,Nacional,2015-05-02 04:35:00+00:00,2015-05-02T04:35:00Z,2015-05-02T06:00:00Z,2015-05-02T06:00:00Z,Realizado,,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
GLO - 1283,GOL,Nacional,2015-05-02 04:40:00+00:00,,2015-05-02T06:01:00Z,,Cancelado,PROGRAMADO - FERIADO NACIONAL,Senador Nilo Coelho,Petrolina,PE,Brasil,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-40.5660751,-9.3665077
TAM - 4764,TAM,Nacional,2015-05-02 04:00:00+00:00,2015-05-02T03:42:00Z,2015-05-02T06:02:00Z,2015-05-02T05:41:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Eduardo Gomes,Manaus,AM,Brasil,Val De Cans,Belem,PA,Brasil,-48.4775227,-1.3820615,-60.0463249,-3.0358474
GLO - 1759,GOL,Regional,2015-05-02 04:45:00+00:00,,2015-05-02T06:02:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Presidente Joao Suassuna,Campina Grande,PB,Brasil,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-35.8940206,-7.2688784
GLO - 2171,GOL,Nacional,2015-05-02 04:02:00+00:00,2015-05-02T04:02:00Z,2015-05-02T06:03:00Z,2015-05-02T06:03:00Z,Realizado,,Val De Cans,Belem,PA,Brasil,Pinto Martins,Fortaleza,CE,Brasil,-38.5330966,-3.7771555,-48.4775227,-1.3820615
AFR - 454,AIR FRANCE,Internacional,2015-05-02 18:30:00+00:00,2015-05-02T18:30:00Z,2015-05-03T06:05:00Z,2015-05-03T06:05:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
AZU - 5151,AZUL,Regional,2015-05-02 05:10:00+00:00,,2015-05-02T06:05:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Pelotas,Pelotas,RS,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-52.3279312,-31.71795
SWR - 93,SWISSAIR,Internacional,2015-05-02 18:30:00+00:00,2015-05-02T18:30:00Z,2015-05-03T06:05:00Z,2015-05-03T06:05:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Zurique,Zurique,N/I,Suica,8.5554755,47.4582165,-46.478126,-23.4345529
GLO - 1093,GOL,Nacional,2015-05-02 04:35:00+00:00,2015-05-02T04:35:00Z,2015-05-02T06:05:00Z,2015-05-02T06:05:00Z,Realizado,,Governador Aluizio Alves,Natal,RN,Brasil,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-35.3673819,-5.7683702
GLO - 1331,GOL,Nacional,2015-05-02 04:40:00+00:00,2015-05-02T04:40:00Z,2015-05-02T06:05:00Z,2015-05-02T06:05:00Z,Realizado,,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,Brasil,Congonhas,Sao Paulo,SP,Brasil,-46.6565842,-23.6273246,-48.2308653,-18.888969
TAM - 8085,TAM,Internacional,2015-05-02 18:05:00+00:00,2015-05-02T18:05:00Z,2015-05-03T06:05:00Z,2015-05-03T06:05:00Z,Realizado,,Londres,Londres,N/I,Reino Unido,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,0.049518,51.5048437
TAM - 3646,TAM,Nacional,2015-05-02 03:10:00+00:00,2015-05-02T03:10:00Z,2015-05-02T06:07:00Z,2015-05-02T06:07:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-46.478126,-23.4345529
AAL - 906,AMERICAN AIRLINES INC,Internacional,2015-05-02 21:25:00+00:00,2015-05-02T21:20:00Z,2015-05-03T06:10:00Z,2015-05-03T05:14:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
TAM - 3751,TAM,Nacional,2015-05-02 02:18:00+00:00,,2015-05-02T06:10:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Eduardo Gomes,Manaus,AM,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-60.0463249,-3.0358474
TAM - 8087,TAM,Internacional,2015-05-02 21:25:00+00:00,2015-05-02T21:25:00Z,2015-05-03T06:10:00Z,2015-05-03T06:10:00Z,Realizado,,Orlando,Orlando,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-81.308083,28.4311577
TAM - 3601,TAM,Nacional,2015-05-02 03:31:00+00:00,2015-05-02T03:31:00Z,2015-05-02T06:10:00Z,2015-05-02T06:10:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Congonhas,Sao Paulo,SP,Brasil,-46.6565842,-23.6273246,-38.3312411,-12.9110977
AZU - 2730,AZUL,Regional,2015-05-02 05:15:00+00:00,,2015-05-02T06:12:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Governador Aluizio Alves,Natal,RN,Brasil,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-35.3673819,-5.7683702
