Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AZU - 6963,AZUL,Nacional,2015-02-25 02:23:00+00:00,,2015-02-25T05:48:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Pinto Martins,Fortaleza,CE,Brasil,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-38.5330966,-3.7771555
AVA - 85,AVIANCA,Internacional,2015-02-25 23:59:00+00:00,2015-02-26T00:23:00Z,2015-02-26T05:50:00Z,2015-02-26T06:17:00Z,Realizado,CONEXAO DE AERONAVE,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
AZU - 2505,AZUL,Regional,2015-02-25 05:10:00+00:00,2015-02-25T05:10:00Z,2015-02-25T05:50:00Z,2015-02-25T05:50:00Z,Realizado,,Santa Maria,Santa Maria,RS,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-53.7008735,-29.7079582
DLH - 505,LUFTHANSA,Internacional,2015-02-25 18:00:00+00:00,2015-02-25T18:00:00Z,2015-02-26T05:50:00Z,2015-02-26T05:50:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Munchen,Munchen,N/I,Alemanha,11.7750279,48.3536621,-46.478126,-23.4345529
GLO - 1335,GOL,Nacional,2015-02-25 02:58:00+00:00,2015-02-25T02:58:00Z,2015-02-25T05:51:00Z,2015-02-25T05:51:00Z,Realizado,,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,Brasil,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-63.89832,-8.7141702
TAM - 8101,TAM,Internacional,2015-02-25 18:10:00+00:00,2015-02-25T22:09:00Z,2015-02-26T05:55:00Z,2015-02-26T09:56:00Z,Realizado,AEROPORTO COM RESTRICOES OPERACIONAIS,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
TPU - 917,TRASAMERICA  AIRLINES-TACAPERU,Internacional,2015-02-25 00:55:00+00:00,2015-02-24T23:59:00Z,2015-02-25T05:55:00Z,2015-02-25T05:21:00Z,Realizado,MIGRACAO/ALFANDEGA/SAUDE,Lima,Lima,N/I,Peru,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-77.1074414,-12.0436644
AZU - 4191,AZUL,Nacional,2015-02-25 02:44:00+00:00,2015-02-25T02:44:00Z,2015-02-25T05:55:00Z,2015-02-25T05:55:00Z,Realizado,,Val De Cans,Belem,PA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-48.4775227,-1.3820615
GLO - 1833,GOL,Nacional,2015-02-25 02:30:00+00:00,,2015-02-25T05:57:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Marechal Cunha Machado,Sao Luis,MA,Brasil,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-44.2348802,-2.5849927
AZU - 2745,AZUL,Regional,2015-02-25 03:05:00+00:00,2015-02-25T03:05:00Z,2015-02-25T05:58:00Z,2015-02-25T05:58:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-38.5330966,-3.7771555
GLO - 2101,GOL,Nacional,2015-02-25 02:20:00+00:00,,2015-02-25T06:00:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Pinto Martins,Fortaleza,CE,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.5330966,-3.7771555
IBE - 6024,IBERIA,Internacional,2015-02-25 19:56:00+00:00,2015-02-25T19:56:00Z,2015-02-26T06:00:00Z,2015-02-26T06:00:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-43.2494233,-22.8134098
GLO - 1901,GOL,Nacional,2015-02-25 02:50:00+00:00,2015-02-25T02:50:00Z,2015-02-25T06:00:00Z,2015-02-25T06:00:00Z,Realizado,,Marechal Cunha Machado,Sao Luis,MA,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-44.2348802,-2.5849927
GLO - 1856,GOL,Nacional,2015-02-25 04:35:00+00:00,2015-02-25T04:35:00Z,2015-02-25T06:00:00Z,2015-02-25T06:00:00Z,Realizado,,Santa Genoveva,Goiania,GO,Brasil,Congonhas,Sao Paulo,SP,Brasil,-46.6565842,-23.6273246,-49.2221166,-16.632488
AZU - 5149,AZUL,Nacional,2015-02-25 04:35:00+00:00,2015-02-25T04:35:00Z,2015-02-25T06:00:00Z,2015-02-25T06:00:00Z,Realizado,,Brigadeiro Lysias Rodrigues,Palmas,TO,Brasil,Santa Genoveva,Goiania,GO,Brasil,-49.2221166,-16.632488,-48.3575251,-10.2943256
GLO - 1135,GOL,Nacional,2015-02-25 04:44:00+00:00,,2015-02-25T06:00:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Val De Cans,Belem,PA,Brasil,Marechal Cunha Machado,Sao Luis,MA,Brasil,-44.2348802,-2.5849927,-48.4775227,-1.3820615
GLO - 1283,GOL,Nacional,2015-02-25 04:40:00+00:00,2015-02-25T04:40:00Z,2015-02-25T06:01:00Z,2015-02-25T06:01:00Z,Realizado,,Senador Nilo Coelho,Petrolina,PE,Brasil,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-40.5660751,-9.3665077
AZU - 2545,AZUL,Nacional,2015-02-25 03:10:00+00:00,2015-02-25T02:58:00Z,2015-02-25T06:02:00Z,2015-02-25T05:38:00Z,Realizado,ANTECIPACAO DE HORARIO AUTORIZADA,Marechal Cunha Machado,Sao Luis,MA,Brasil,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-44.2348802,-2.5849927
