Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 930,AMERICAN AIRLINES INC,Internacional,2015-03-18 00:10:00+00:00,2015-03-18T00:10:00Z,2015-03-18T08:40:00Z,2015-03-18T08:40:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 213,AMERICAN AIRLINES INC,Internacional,2015-03-18 00:54:00+00:00,2015-03-18T02:37:00Z,2015-03-18T08:32:00Z,2015-03-18T10:20:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 907,AMERICAN AIRLINES INC,Internacional,2015-03-18 00:54:00+00:00,2015-03-18T10:59:00Z,2015-03-18T10:27:00Z,2015-03-18T19:36:00Z,Realizado,OPERACAO DE VOO COM MAIS DE 04 HORAS DE ATRASO PANE AERONAVE,Miami,Miami,N/I,Estados Unidos,Viracopos,Campinas,SP,Brasil,-47.1375685,-23.008205,-80.2870457,25.795865
AAL - 995,AMERICAN AIRLINES INC,Internacional,2015-03-18 00:55:00+00:00,2015-03-18T01:29:00Z,2015-03-18T09:25:00Z,2015-03-18T09:53:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 905,AMERICAN AIRLINES INC,Internacional,2015-03-18 00:59:00+00:00,2015-03-18T02:30:00Z,2015-03-18T09:17:00Z,2015-03-18T10:40:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 964,AMERICAN AIRLINES INC,Internacional,2015-03-18 01:05:00+00:00,2015-03-18T00:47:00Z,2015-03-18T07:27:00Z,2015-03-18T05:55:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
AAL - 951,AMERICAN AIRLINES INC,Internacional,2015-03-18 01:40:00+00:00,2015-03-18T00:34:00Z,2015-03-18T10:20:00Z,2015-03-18T10:31:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 991,AMERICAN AIRLINES INC,Internacional,2015-03-18 01:54:00+00:00,2015-03-18T00:54:00Z,2015-03-18T10:02:00Z,2015-03-18T08:56:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2015-03-18 09:00:00+00:00,2015-03-18T09:47:00Z,2015-03-18T17:35:00Z,2015-03-18T18:20:00Z,Realizado,CONEXAO DE AERONAVE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 203,AMERICAN AIRLINES INC,Internacional,2015-03-18 10:45:00+00:00,2015-03-18T10:45:00Z,2015-03-18T19:27:00Z,2015-03-18T19:27:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
