Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2016-03-12 23:39:00+00:00,2016-03-12T23:39:00Z,2016-03-13T07:21:00Z,2016-03-13T07:21:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2016-03-12 22:58:00+00:00,2016-03-12T21:53:00Z,2016-03-13T06:56:00Z,2016-03-13T05:36:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 230,AMERICAN AIRLINES INC,Internacional,2016-03-12 22:45:00+00:00,2016-03-12T21:39:00Z,2016-03-13T07:22:00Z,2016-03-13T05:56:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-38.3312411,-12.9110977
AAL - 233,AMERICAN AIRLINES INC,Internacional,2016-03-12 12:50:00+00:00,2016-03-12T11:30:00Z,2016-03-12T21:25:00Z,2016-03-12T20:45:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2016-03-12 12:55:00+00:00,2016-03-12T11:46:00Z,2016-03-12T21:30:00Z,2016-03-12T18:59:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 273,AMERICAN AIRLINES INC,Internacional,2016-03-12 23:49:00+00:00,2016-03-12T23:31:00Z,2016-03-13T07:34:00Z,2016-03-13T08:01:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-80.2870457,25.795865
AAL - 274,AMERICAN AIRLINES INC,Internacional,2016-03-12 22:37:00+00:00,2016-03-12T22:37:00Z,2016-03-13T07:09:00Z,2016-03-13T07:09:00Z,Realizado,,Guararapes - Gilberto Freyre,Recife,PE,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-34.9240154,-8.1259315
AAL - 961,AMERICAN AIRLINES INC,Internacional,2016-03-12 19:55:00+00:00,2016-03-12T17:56:00Z,2016-03-13T00:15:00Z,2016-03-12T22:59:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Miami,Miami,N/I,Estados Unidos,Eduardo Gomes,Manaus,AM,Brasil,-60.0463249,-3.0358474,-80.2870457,25.795865
AAL - 964,AMERICAN AIRLINES INC,Internacional,2016-03-12 01:30:00+00:00,,2016-03-12T06:53:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
ACA - 90,AIR CANADA,Internacional,2016-03-12 00:35:00+00:00,2016-03-12T01:05:00Z,2016-03-12T10:55:00Z,2016-03-12T10:55:00Z,Realizado,TROCA DE AERONAVE,Toronto,Toronto,N/I,Canada,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-79.6248197,43.6777176
