Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AVA - 85,AVIANCA,Internacional,2015-02-22 23:59:00+00:00,2015-02-22T00:12:00Z,2015-02-23T05:50:00Z,2015-02-22T06:39:00Z,Realizado,CONEXAO DE AERONAVE,Bogota,Bogota,N/I,Colombia,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-74.1444969,4.7014128
DLH - 505,LUFTHANSA,Internacional,2015-02-22 18:00:00+00:00,2015-02-22T18:00:00Z,2015-02-23T05:50:00Z,2015-02-23T05:50:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Munchen,Munchen,N/I,Alemanha,11.7750279,48.3536621,-46.478126,-23.4345529
TAP - 34,TAP AIR PORTUGAL,Internacional,2015-02-22 22:45:00+00:00,2015-02-22T22:45:00Z,2015-02-23T05:50:00Z,2015-02-23T05:50:00Z,Realizado,,Pinto Martins,Fortaleza,CE,Brasil,Lisboa,Lisboa,N/I,Portugal,-9.1353667,38.7755936,-38.5330966,-3.7771555
GLO - 7491,GOL,Internacional,2015-02-22 01:20:00+00:00,2015-02-22T01:20:00Z,2015-02-22T05:50:00Z,2015-02-22T05:50:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Buenos Aires,Buenos Aires,N/I,Argentina,-58.5348284,-34.8150044,-38.3312411,-12.9110977
GLO - 1335,GOL,Nacional,2015-02-22 02:58:00+00:00,2015-02-22T02:58:00Z,2015-02-22T05:51:00Z,2015-02-22T05:51:00Z,Realizado,,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,Brasil,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-63.89832,-8.7141702
TPU - 917,TRASAMERICA  AIRLINES-TACAPERU,Internacional,2015-02-22 00:55:00+00:00,2015-02-21T23:53:00Z,2015-02-22T05:55:00Z,2015-02-22T05:08:00Z,Realizado,,Lima,Lima,N/I,Peru,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-77.1074414,-12.0436644
TAM - 8101,TAM,Internacional,2015-02-22 18:10:00+00:00,2015-02-22T18:10:00Z,2015-02-23T05:55:00Z,2015-02-23T05:55:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
GLO - 1901,GOL,Nacional,2015-02-22 02:50:00+00:00,2015-02-22T02:50:00Z,2015-02-22T06:00:00Z,2015-02-22T06:20:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Marechal Cunha Machado,Sao Luis,MA,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-44.2348802,-2.5849927
GLO - 1135,GOL,Nacional,2015-02-22 04:44:00+00:00,2015-02-22T04:44:00Z,2015-02-22T06:00:00Z,2015-02-22T06:00:00Z,Realizado,,Val De Cans,Belem,PA,Brasil,Marechal Cunha Machado,Sao Luis,MA,Brasil,-44.2348802,-2.5849927,-48.4775227,-1.3820615
GLO - 2101,GOL,Nacional,2015-02-22 02:20:00+00:00,,2015-02-22T06:00:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Pinto Martins,Fortaleza,CE,Brasil,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-38.5330966,-3.7771555
IBE - 6024,IBERIA,Internacional,2015-02-22 19:56:00+00:00,2015-02-22T19:56:00Z,2015-02-23T06:00:00Z,2015-02-23T06:00:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-43.2494233,-22.8134098
