Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2017-04-15 23:25:00+00:00,2017-04-15T23:25:00Z,2017-04-16T07:00:00Z,2017-04-16T07:00:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2017-04-15 21:55:00+00:00,2017-04-15T21:55:00Z,2017-04-16T05:50:00Z,2017-04-16T05:50:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 233,AMERICAN AIRLINES INC,Internacional,2017-04-15 10:50:00+00:00,2017-04-15T13:08:00Z,2017-04-15T21:30:00Z,2017-04-15T21:17:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2017-04-15 10:00:00+00:00,,2017-04-15T18:35:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 904,AMERICAN AIRLINES INC,Internacional,2017-04-15 20:40:00+00:00,2017-04-15T20:38:00Z,2017-04-16T06:40:00Z,2017-04-16T05:21:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2017-04-15 00:45:00+00:00,2017-04-15T10:37:00Z,2017-04-15T08:05:00Z,2017-04-15T18:57:00Z,Realizado,OPERACAO DE VOO COM MAIS DE 04 HORAS DE ATRASO PANE AERONAVE,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2017-04-15 23:25:00+00:00,2017-04-15T23:11:00Z,2017-04-16T08:00:00Z,2017-04-16T07:14:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2017-04-15 21:20:00+00:00,2017-04-15T21:20:00Z,2017-04-16T05:15:00Z,2017-04-16T05:15:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2017-04-15 21:25:00+00:00,2017-04-15T21:13:00Z,2017-04-16T06:05:00Z,2017-04-16T05:14:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 950,AMERICAN AIRLINES INC,Internacional,2017-04-15 21:30:00+00:00,2017-04-15T21:30:00Z,2017-04-16T07:20:00Z,2017-04-16T07:20:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
