Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 203,AMERICAN AIRLINES INC,Internacional,2015-08-15 20:56:00+00:00,2015-08-15T21:37:00Z,2015-08-15T22:08:00Z,2015-08-15T22:47:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,2015-08-15 23:17:00+00:00,2015-08-16T00:07:00Z,2015-08-16T08:31:00Z,2015-08-16T08:14:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,2015-08-15 10:45:00+00:00,2015-08-15T10:54:00Z,2015-08-15T19:27:00Z,2015-08-15T20:21:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 213,AMERICAN AIRLINES INC,Internacional,2015-08-15 00:54:00+00:00,2015-08-15T00:54:00Z,2015-08-15T08:32:00Z,2015-08-15T08:00:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2015-08-15 22:15:00+00:00,2015-08-15T22:15:00Z,2015-08-16T06:14:00Z,2015-08-16T06:14:00Z,Realizado,,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 229,AMERICAN AIRLINES INC,Internacional,2015-08-15 00:59:00+00:00,2015-08-15T00:59:00Z,2015-08-15T09:01:00Z,2015-08-15T09:01:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-80.2870457,25.795865
AAL - 230,AMERICAN AIRLINES INC,Internacional,2015-08-15 21:27:00+00:00,2015-08-15T21:27:00Z,2015-08-16T05:44:00Z,2015-08-16T05:44:00Z,Realizado,,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-38.3312411,-12.9110977
AAL - 233,AMERICAN AIRLINES INC,Internacional,2015-08-15 11:00:00+00:00,2015-08-15T11:00:00Z,2015-08-15T19:30:00Z,2015-08-15T19:30:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 273,AMERICAN AIRLINES INC,Internacional,2015-08-15 00:54:00+00:00,2015-08-15T02:47:00Z,2015-08-15T08:56:00Z,2015-08-15T10:11:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Guararapes - Gilberto Freyre,Recife,PE,Brasil,-34.9240154,-8.1259315,-80.2870457,25.795865
AAL - 274,AMERICAN AIRLINES INC,Internacional,2015-08-15 21:57:00+00:00,2015-08-15T21:57:00Z,2015-08-16T06:17:00Z,2015-08-16T06:17:00Z,Realizado,,Guararapes - Gilberto Freyre,Recife,PE,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-34.9240154,-8.1259315
AAL - 901,AMERICAN AIRLINES INC,Internacional,2015-08-15 22:45:00+00:00,2015-08-15T22:45:00Z,2015-08-16T07:30:00Z,2015-08-16T07:30:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 904,AMERICAN AIRLINES INC,Internacional,2015-08-15 20:24:00+00:00,2015-08-15T20:24:00Z,2015-08-16T05:15:00Z,2015-08-16T05:15:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2015-08-15 00:59:00+00:00,2015-08-15T02:11:00Z,2015-08-15T09:22:00Z,2015-08-15T10:20:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2015-08-15 21:25:00+00:00,2015-08-15T21:16:00Z,2015-08-16T06:10:00Z,2015-08-16T05:33:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
