Voos,Companhia.Aerea,Codigo.Tipo.Linha,Partida.Prevista,Partida.Real,Chegada.Prevista,Chegada.Real,Situacao.Voo,Codigo.Justificativa,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Pais.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,Pais.Destino,LongDest,LatDest,LongOrig,LatOrig
AAL - 213,AMERICAN AIRLINES INC,Internacional,2016-11-19 01:20:00+00:00,2016-11-19T03:30:00Z,2016-11-19T09:00:00Z,2016-11-19T10:57:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,-47.9172348,-15.8697369,-80.2870457,25.795865
AAL - 214,AMERICAN AIRLINES INC,Internacional,2016-11-19 23:55:00+00:00,,2016-11-20T07:45:00Z,,Cancelado,CANCELAMENTO POR MOTIVOS TECNICOS - OPERACIONAIS,Presidente Juscelino Kubitschek,Brasilia,DF,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-47.9172348,-15.8697369
AAL - 233,AMERICAN AIRLINES INC,Internacional,2016-11-19 11:05:00+00:00,2016-11-19T11:05:00Z,2016-11-19T19:35:00Z,2016-11-19T19:35:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 234,AMERICAN AIRLINES INC,Internacional,2016-11-19 10:00:00+00:00,2016-11-19T10:00:00Z,2016-11-19T18:35:00Z,2016-11-19T18:35:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 904,AMERICAN AIRLINES INC,Internacional,2016-11-19 21:15:00+00:00,2016-11-19T22:41:00Z,2016-11-20T06:10:00Z,2016-11-20T07:04:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.2494233,-22.8134098
AAL - 905,AMERICAN AIRLINES INC,Internacional,2016-11-19 00:25:00+00:00,2016-11-19T01:29:00Z,2016-11-19T08:55:00Z,2016-11-19T09:45:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Miami,Miami,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-80.2870457,25.795865
AAL - 906,AMERICAN AIRLINES INC,Internacional,2016-11-19 01:30:00+00:00,2016-11-19T01:30:00Z,2016-11-19T09:55:00Z,2016-11-19T09:55:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 929,AMERICAN AIRLINES INC,Internacional,2016-11-19 23:00:00+00:00,2016-11-19T23:00:00Z,2016-11-20T07:35:00Z,2016-11-20T07:35:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 930,AMERICAN AIRLINES INC,Internacional,2016-11-19 23:05:00+00:00,2016-11-19T23:05:00Z,2016-11-20T07:40:00Z,2016-11-20T07:40:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-46.478126,-23.4345529
AAL - 950,AMERICAN AIRLINES INC,Internacional,2016-11-19 23:30:00+00:00,2016-11-19T23:18:00Z,2016-11-20T09:25:00Z,2016-11-20T08:36:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-46.478126,-23.4345529
AAL - 951,AMERICAN AIRLINES INC,Internacional,2016-11-19 01:35:00+00:00,2016-11-19T01:35:00Z,2016-11-19T11:20:00Z,2016-11-19T11:20:00Z,Realizado,,New York,New York,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-73.7781391,40.6413111
AAL - 973,AMERICAN AIRLINES INC,Internacional,2016-11-19 23:35:00+00:00,2016-11-20T01:00:00Z,2016-11-20T09:35:00Z,2016-11-20T10:05:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,New York,New York,N/I,Estados Unidos,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,-73.7781391,40.6413111
AAL - 974,AMERICAN AIRLINES INC,Internacional,2016-11-19 22:05:00+00:00,2016-11-19T23:13:00Z,2016-11-20T08:10:00Z,2016-11-20T08:51:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,New York,New York,N/I,Estados Unidos,-73.7781391,40.6413111,-43.2494233,-22.8134098
AAL - 991,AMERICAN AIRLINES INC,Internacional,2016-11-19 01:05:00+00:00,2016-11-19T01:05:00Z,2016-11-19T09:20:00Z,2016-11-19T09:20:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Tancredo Neves,Confins,MG,Brasil,-43.965396,-19.634099,-80.2870457,25.795865
AAL - 992,AMERICAN AIRLINES INC,Internacional,2016-11-19 23:25:00+00:00,2016-11-19T23:09:00Z,2016-11-20T07:50:00Z,2016-11-20T07:14:00Z,Realizado,LIBERACAO SERV. TRAFEGO AEREO/ANTECIPACAO,Tancredo Neves,Confins,MG,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-43.965396,-19.634099
AAL - 995,AMERICAN AIRLINES INC,Internacional,2016-11-19 01:00:00+00:00,2016-11-19T01:00:00Z,2016-11-19T09:25:00Z,2016-11-19T09:25:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-80.2870457,25.795865
AAL - 1265,AMERICAN AIRLINES INC,Internacional,2016-11-19 18:25:00+00:00,2016-11-19T18:25:00Z,2016-11-19T23:40:00Z,2016-11-19T23:40:00Z,Realizado,,Miami,Miami,N/I,Estados Unidos,Eduardo Gomes,Manaus,AM,Brasil,-60.0463249,-3.0358474,-80.2870457,25.795865
AAL - 1265,AMERICAN AIRLINES INC,Internacional,2016-11-19 01:59:00+00:00,2016-11-19T01:59:00Z,2016-11-19T07:23:00Z,2016-11-19T07:23:00Z,Realizado,,Eduardo Gomes,Manaus,AM,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-60.0463249,-3.0358474
ACA - 90,AIR CANADA,Internacional,2016-11-19 01:55:00+00:00,2016-11-19T01:54:00Z,2016-11-19T12:15:00Z,2016-11-19T12:03:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Toronto,Toronto,N/I,Canada,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-79.6248197,43.6777176
ACA - 91,AIR CANADA,Internacional,2016-11-19 22:10:00+00:00,2016-11-19T22:04:00Z,2016-11-20T08:55:00Z,2016-11-20T08:20:00Z,Realizado,ATRASOS NAO ESPECIFICOS - OUTROS,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Toronto,Toronto,N/I,Canada,-79.6248197,43.6777176,-46.478126,-23.4345529
AEA - 57,AIR EUROPA S/A,Internacional,2016-11-19 20:15:00+00:00,2016-11-19T21:16:00Z,2016-11-20T07:35:00Z,2016-11-20T07:38:00Z,Realizado,CONEXAO DE AERONAVE,Madrid,Madrid,N/I,Espanha,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,-3.5679515,40.4839361
AEA - 58,AIR EUROPA S/A,Internacional,2016-11-19 16:05:00+00:00,2016-11-20T11:26:00Z,2016-11-20T02:30:00Z,2016-11-20T21:02:00Z,Realizado,DEFEITOS DA AERONAVE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-46.478126,-23.4345529
AEA - 83,AIR EUROPA S/A,Internacional,2016-11-19 12:15:00+00:00,2016-11-19T13:00:00Z,2016-11-19T21:45:00Z,2016-11-19T21:47:00Z,Realizado,CONEXAO DE AERONAVE,Madrid,Madrid,N/I,Espanha,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,-38.3312411,-12.9110977,-3.5679515,40.4839361
AEA - 84,AIR EUROPA S/A,Internacional,2016-11-19 23:45:00+00:00,2016-11-19T23:10:00Z,2016-11-20T08:25:00Z,2016-11-20T07:58:00Z,Realizado,CONEXAO DE AERONAVE,Deputado Luis Eduardo Magalhaes,Salvador,BA,Brasil,Madrid,Madrid,N/I,Espanha,-3.5679515,40.4839361,-38.3312411,-12.9110977
AFR - 442,AIR FRANCE,Internacional,2016-11-19 20:35:00+00:00,2016-11-19T20:35:00Z,2016-11-20T08:10:00Z,2016-11-20T08:10:00Z,Realizado,,Paris,Paris,N/I,Franca,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,-43.2494233,-22.8134098,2.5479245,49.0096906
AFR - 443,AIR FRANCE,Internacional,2016-11-19 17:40:00+00:00,2016-11-19T17:40:00Z,2016-11-20T04:40:00Z,2016-11-20T04:40:00Z,Realizado,,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-43.2494233,-22.8134098
AFR - 454,AIR FRANCE,Internacional,2016-11-19 20:20:00+00:00,2016-11-19T20:20:00Z,2016-11-20T08:15:00Z,2016-11-20T08:15:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
AFR - 456,AIR FRANCE,Internacional,2016-11-19 07:10:00+00:00,2016-11-19T07:10:00Z,2016-11-19T19:05:00Z,2016-11-19T19:05:00Z,Realizado,,Paris,Paris,N/I,Franca,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,-46.478126,-23.4345529,2.5479245,49.0096906
AFR - 457,AIR FRANCE,Internacional,2016-11-19 17:55:00+00:00,2016-11-19T17:55:00Z,2016-11-20T05:15:00Z,2016-11-20T05:15:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-46.478126,-23.4345529
AFR - 459,AIR FRANCE,Internacional,2016-11-19 21:10:00+00:00,2016-11-19T21:10:00Z,2016-11-20T08:15:00Z,2016-11-20T08:15:00Z,Realizado,,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Brasil,Paris,Paris,N/I,Franca,2.5479245,49.0096906,-46.478126,-23.4345529
ARG - 1226,AEROLINEAS ARGENTINAS,Internacional,2016-11-19 16:10:00+00:00,2016-11-19T16:10:00Z,2016-11-19T20:00:00Z,2016-11-19T20:00:00Z,Realizado,,Buenos Aires,Buenos Aires,N/I,Argentina,Porto Seguro,Porto Seguro,BA,Brasil,-39.0821431,-16.4395303,-58.5348284,-34.8150044
